Clinton,Trump,Rpt,State,Vote by county,Vote by town,Place
1601382.0,525308.0,100,California,Los Angeles,,Los Angeles
396712.0,357174.0,100,California,Orange,,Orange
390531.0,269422.0,100,California,San Diego,,San Diego
228731.0,219359.0,100,California,Riverside,,Riverside
220853.0,188080.0,100,California,San Bernardino,,San Bernardino
312994.0,91990.0,100,California,Santa Clara,,Santa Clara
300185.0,59384.0,100,California,Alameda,,Alameda
186237.0,114359.0,100,California,Sacramento,,Sacramento
201936.0,76743.0,100,California,Contra Costa,,Contra Costa
228211.0,26461.0,100,California,San Francisco,,San Francisco
136848.0,97516.0,100,California,Ventura,,Ventura
152134.0,37996.0,100,California,San Mateo,,San Mateo
82863.0,79858.0,100,California,Fresno,,Fresno
64980.0,95064.0,100,California,Kern,,Kern
116027.0,37421.0,100,California,Sonoma,,Sonoma
71349.0,56194.0,100,California,San Joaquin,,San Joaquin
79015.0,41481.0,100,California,Solano,,Solano
72605.0,38973.0,100,California,Santa Barbara,,Santa Barbara
51171.0,52567.0,100,California,Stanislaus,,Stanislaus
43915.0,55212.0,100,California,Placer,,Placer
46965.0,39263.0,100,California,San Luis Obispo,,San Luis Obispo
64333.0,13127.0,100,California,Marin,,Marin
60529.0,14523.0,100,California,Santa Cruz,,Santa Cruz
31638.0,35354.0,100,California,Butte,,Butte
47387.0,19580.0,100,California,Monterey,,Monterey
28026.0,37286.0,100,California,El Dorado,,El Dorado
23663.0,33372.0,100,California,Tulare,,Tulare
15533.0,35256.0,100,California,Shasta,,Shasta
34460.0,13178.0,100,California,Yolo,,Yolo
21856.0,18486.0,100,California,Merced,,Merced
13283.0,19221.0,100,California,Madera,,Madera
19596.0,10883.0,100,California,Humboldt,,Humboldt
16199.0,14686.0,100,California,Nevada,,Nevada
20454.0,9335.0,100,California,Napa,,Napa
9077.0,13158.0,100,California,Kings,,Kings
14331.0,5607.0,100,California,Imperial,,Imperial
7599.0,10947.0,100,California,Sutter,,Sutter
6740.0,11064.0,100,California,Calaveras,,Calaveras
7075.0,10614.0,100,California,Tuolumne,,Tuolumne
4764.0,10528.0,100,California,Tehama,,Tehama
5115.0,8869.0,100,California,Yuba,,Yuba
5252.0,8392.0,100,California,Siskiyou,,Siskiyou
6240.0,5752.0,100,California,Lake,,Lake
6751.0,4358.0,100,California,San Benito,,San Benito
6905.0,3571.0,100,California,Mendocino,,Mendocino
3420.0,6069.0,100,California,Amador,,Amador
3224.0,5079.0,100,California,Plumas,,Plumas
1881.0,6155.0,100,California,Lassen,,Lassen
2997.0,4370.0,100,California,Del Norte,,Del Norte
2568.0,4317.0,100,California,Mariposa,,Mariposa
2499.0,3328.0,100,California,Inyo,,Inyo
1766.0,3405.0,100,California,Glenn,,Glenn
2551.0,1989.0,100,California,Mono,,Mono
1832.0,2709.0,100,California,Colusa,,Colusa
1876.0,2409.0,100,California,Trinity,,Trinity
798.0,2413.0,100,California,Modoc,,Modoc
596.0,1044.0,100,California,Sierra,,Sierra
318.0,211.0,100,California,Alpine,,Alpine
